Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Jakeem Grant (15584461),Jakeem Grant,15584461,CPT,3000,MIA@SF 10/11/2020 04:05PM ET,MIA,4.78
WR,Isaiah Ford (15584416),Isaiah Ford,15584416,FLEX,2800,MIA@SF 10/11/2020 04:05PM ET,MIA,7.52
RB,Matt Breida (15584462),Matt Breida,15584462,CPT,2400,MIA@SF 10/11/2020 04:05PM ET,MIA,3.82
WR,Jakeem Grant (15584417),Jakeem Grant,15584417,FLEX,2000,MIA@SF 10/11/2020 04:05PM ET,MIA,4.78
RB,Matt Breida (15584418),Matt Breida,15584418,FLEX,1600,MIA@SF 10/11/2020 04:05PM ET,MIA,3.82
RB,Chandler Cox (15584463),Chandler Cox,15584463,CPT,1500,MIA@SF 10/11/2020 04:05PM ET,MIA,0.32
TE,Durham Smythe (15584464),Durham Smythe,15584464,CPT,1200,MIA@SF 10/11/2020 04:05PM ET,MIA,1.68
RB,Chandler Cox (15584419),Chandler Cox,15584419,FLEX,1000,MIA@SF 10/11/2020 04:05PM ET,MIA,0.32
RB,Kyle Juszczyk (15584465),Kyle Juszczyk,15584465,CPT,900,MIA@SF 10/11/2020 04:05PM ET,SF,3.1
TE,Durham Smythe (15584420),Durham Smythe,15584420,FLEX,800,MIA@SF 10/11/2020 04:05PM ET,MIA,1.68
RB,Kyle Juszczyk (15584421),Kyle Juszczyk,15584421,FLEX,600,MIA@SF 10/11/2020 04:05PM ET,SF,3.1
WR,Jalen Hurd (15584466),Jalen Hurd,15584466,CPT,600,MIA@SF 10/11/2020 04:05PM ET,SF,0
WR,Jalen Hurd (15584422),Jalen Hurd,15584422,FLEX,400,MIA@SF 10/11/2020 04:05PM ET,SF,0
TE,Jordan Reed (15584467),Jordan Reed,15584467,CPT,300,MIA@SF 10/11/2020 04:05PM ET,SF,10.5
WR,Trent Taylor (15584468),Trent Taylor,15584468,CPT,300,MIA@SF 10/11/2020 04:05PM ET,SF,2.18
WR,Tavon Austin (15584469),Tavon Austin,15584469,CPT,300,MIA@SF 10/11/2020 04:05PM ET,SF,0
RB,Tevin Coleman (15584470),Tevin Coleman,15584470,CPT,300,MIA@SF 10/11/2020 04:05PM ET,SF,4.7
RB,Malcolm Perry (15584471),Malcolm Perry,15584471,CPT,300,MIA@SF 10/11/2020 04:05PM ET,MIA,0
