Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Dion Lewis (15584544),Dion Lewis,15584544,CPT,3300,NYG@DAL 10/11/2020 04:25PM ET,NYG,5.38
RB,Tony Pollard (15584504),Tony Pollard,15584504,FLEX,2800,NYG@DAL 10/11/2020 04:25PM ET,DAL,4.45
RB,Wayne Gallman Jr. (15584545),Wayne Gallman Jr.,15584545,CPT,2700,NYG@DAL 10/11/2020 04:25PM ET,NYG,3.43
RB,Dion Lewis (15584505),Dion Lewis,15584505,FLEX,2200,NYG@DAL 10/11/2020 04:25PM ET,NYG,5.38
RB,Wayne Gallman Jr. (15584506),Wayne Gallman Jr.,15584506,FLEX,1800,NYG@DAL 10/11/2020 04:25PM ET,NYG,3.43
WR,Damion Ratley (15584546),Damion Ratley,15584546,CPT,1800,NYG@DAL 10/11/2020 04:25PM ET,NYG,2.58
WR,Damion Ratley (15584507),Damion Ratley,15584507,FLEX,1200,NYG@DAL 10/11/2020 04:25PM ET,NYG,2.58
TE,Blake Bell (15584547),Blake Bell,15584547,CPT,1200,NYG@DAL 10/11/2020 04:25PM ET,DAL,2.45
WR,Noah Brown (15584548),Noah Brown,15584548,CPT,900,NYG@DAL 10/11/2020 04:25PM ET,DAL,3.75
TE,Blake Bell (15584508),Blake Bell,15584508,FLEX,800,NYG@DAL 10/11/2020 04:25PM ET,DAL,2.45
WR,Noah Brown (15584509),Noah Brown,15584509,FLEX,600,NYG@DAL 10/11/2020 04:25PM ET,DAL,3.75
TE,Kaden Smith (15584549),Kaden Smith,15584549,CPT,600,NYG@DAL 10/11/2020 04:25PM ET,NYG,2.48
TE,Kaden Smith (15584510),Kaden Smith,15584510,FLEX,400,NYG@DAL 10/11/2020 04:25PM ET,NYG,2.48
TE,Blake Jarwin (15584550),Blake Jarwin,15584550,CPT,300,NYG@DAL 10/11/2020 04:25PM ET,DAL,2.2
WR,Ventell Bryant (15584551),Ventell Bryant,15584551,CPT,300,NYG@DAL 10/11/2020 04:25PM ET,DAL,0
WR,Cody Core (15584552),Cody Core,15584552,CPT,300,NYG@DAL 10/11/2020 04:25PM ET,NYG,0
TE,Levine Toilolo (15584553),Levine Toilolo,15584553,CPT,300,NYG@DAL 10/11/2020 04:25PM ET,NYG,0.58
RB,Rico Dowdle (15584554),Rico Dowdle,15584554,CPT,300,NYG@DAL 10/11/2020 04:25PM ET,DAL,0
WR,C.J. Board (15584555),C.J. Board,15584555,CPT,300,NYG@DAL 10/11/2020 04:25PM ET,NYG,3.02
WR,Malik Turner (15584556),Malik Turner,15584556,CPT,300,NYG@DAL 10/11/2020 04:25PM ET,DAL,0
WR,David Sills (15584557),David Sills,15584557,CPT,300,NYG@DAL 10/11/2020 04:25PM ET,NYG,0
RB,Elijhaa Penny (15584558),Elijhaa Penny,15584558,CPT,300,NYG@DAL 10/11/2020 04:25PM ET,NYG,0
TE,Sean McKeon (15584559),Sean McKeon,15584559,CPT,300,NYG@DAL 10/11/2020 04:25PM ET,DAL,0
RB,Saquon Barkley (15584560),Saquon Barkley,15584560,CPT,300,NYG@DAL 10/11/2020 04:25PM ET,NYG,7.7
TE,Eric Tomlinson (15584561),Eric Tomlinson,15584561,CPT,300,NYG@DAL 10/11/2020 04:25PM ET,NYG,0
