Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
DST,Bengals  (15579298),Bengals ,15579298,FLEX,3400,CIN@BAL 10/11/2020 01:00PM ET,CIN,3.25
RB,J.K. Dobbins (15579340),J.K. Dobbins,15579340,CPT,3300,CIN@BAL 10/11/2020 01:00PM ET,BAL,8.1
RB,Giovani Bernard (15579299),Giovani Bernard,15579299,FLEX,2800,CIN@BAL 10/11/2020 01:00PM ET,CIN,6.18
RB,Gus Edwards (15579341),Gus Edwards,15579341,CPT,2400,CIN@BAL 10/11/2020 01:00PM ET,BAL,4.18
RB,J.K. Dobbins (15579300),J.K. Dobbins,15579300,FLEX,2200,CIN@BAL 10/11/2020 01:00PM ET,BAL,8.1
TE,Nick Boyle (15579342),Nick Boyle,15579342,CPT,1800,CIN@BAL 10/11/2020 01:00PM ET,BAL,3.45
RB,Gus Edwards (15579301),Gus Edwards,15579301,FLEX,1600,CIN@BAL 10/11/2020 01:00PM ET,BAL,4.18
TE,Nick Boyle (15579302),Nick Boyle,15579302,FLEX,1200,CIN@BAL 10/11/2020 01:00PM ET,BAL,3.45
WR,Alex Erickson (15579343),Alex Erickson,15579343,CPT,1200,CIN@BAL 10/11/2020 01:00PM ET,CIN,0.65
WR,Alex Erickson (15579303),Alex Erickson,15579303,FLEX,800,CIN@BAL 10/11/2020 01:00PM ET,CIN,0.65
TE,Cethan Carter (15579344),Cethan Carter,15579344,CPT,600,CIN@BAL 10/11/2020 01:00PM ET,CIN,1.12
TE,Cethan Carter (15579304),Cethan Carter,15579304,FLEX,400,CIN@BAL 10/11/2020 01:00PM ET,CIN,1.12
TE,Mason Schreck (15579345),Mason Schreck,15579345,CPT,300,CIN@BAL 10/11/2020 01:00PM ET,CIN,0
WR,Devin Duvernay (15579346),Devin Duvernay,15579346,CPT,300,CIN@BAL 10/11/2020 01:00PM ET,BAL,3.8
WR,Mike Thomas (15579347),Mike Thomas,15579347,CPT,300,CIN@BAL 10/11/2020 01:00PM ET,CIN,5.3
TE,C.J. Uzomah (15579348),C.J. Uzomah,15579348,CPT,300,CIN@BAL 10/11/2020 01:00PM ET,CIN,11.35
WR,Auden Tate (15579349),Auden Tate,15579349,CPT,300,CIN@BAL 10/11/2020 01:00PM ET,CIN,2.47
WR,John Ross III (15579350),John Ross III,15579350,CPT,300,CIN@BAL 10/11/2020 01:00PM ET,CIN,1.85
WR,Antoine Wesley (15579351),Antoine Wesley,15579351,CPT,300,CIN@BAL 10/11/2020 01:00PM ET,BAL,0
WR,DeAndrew White (15579352),DeAndrew White,15579352,CPT,300,CIN@BAL 10/11/2020 01:00PM ET,BAL,0
RB,Patrick Ricard (15579353),Patrick Ricard,15579353,CPT,300,CIN@BAL 10/11/2020 01:00PM ET,BAL,1.98
TE,Clark Harris (15579354),Clark Harris,15579354,CPT,300,CIN@BAL 10/11/2020 01:00PM ET,CIN,0
RB,Samaje Perine (15579355),Samaje Perine,15579355,CPT,300,CIN@BAL 10/11/2020 01:00PM ET,CIN,0
WR,Chris Moore (15579356),Chris Moore,15579356,CPT,300,CIN@BAL 10/11/2020 01:00PM ET,BAL,0
RB,Justice Hill (15579357),Justice Hill,15579357,CPT,300,CIN@BAL 10/11/2020 01:00PM ET,BAL,0
TE,Mason Schreck (15579305),Mason Schreck,15579305,FLEX,200,CIN@BAL 10/11/2020 01:00PM ET,CIN,0
WR,Devin Duvernay (15579306),Devin Duvernay,15579306,FLEX,200,CIN@BAL 10/11/2020 01:00PM ET,BAL,3.8
WR,Mike Thomas (15579307),Mike Thomas,15579307,FLEX,200,CIN@BAL 10/11/2020 01:00PM ET,CIN,5.3
TE,C.J. Uzomah (15579308),C.J. Uzomah,15579308,FLEX,200,CIN@BAL 10/11/2020 01:00PM ET,CIN,11.35
WR,Auden Tate (15579309),Auden Tate,15579309,FLEX,200,CIN@BAL 10/11/2020 01:00PM ET,CIN,2.47
WR,John Ross III (15579310),John Ross III,15579310,FLEX,200,CIN@BAL 10/11/2020 01:00PM ET,CIN,1.85
WR,Antoine Wesley (15579311),Antoine Wesley,15579311,FLEX,200,CIN@BAL 10/11/2020 01:00PM ET,BAL,0
WR,DeAndrew White (15579312),DeAndrew White,15579312,FLEX,200,CIN@BAL 10/11/2020 01:00PM ET,BAL,0
RB,Patrick Ricard (15579313),Patrick Ricard,15579313,FLEX,200,CIN@BAL 10/11/2020 01:00PM ET,BAL,1.98
TE,Clark Harris (15579314),Clark Harris,15579314,FLEX,200,CIN@BAL 10/11/2020 01:00PM ET,CIN,0
RB,Samaje Perine (15579315),Samaje Perine,15579315,FLEX,200,CIN@BAL 10/11/2020 01:00PM ET,CIN,0
WR,Chris Moore (15579316),Chris Moore,15579316,FLEX,200,CIN@BAL 10/11/2020 01:00PM ET,BAL,0
RB,Justice Hill (15579317),Justice Hill,15579317,FLEX,200,CIN@BAL 10/11/2020 01:00PM ET,BAL,0
