Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
DST,Falcons  (15579376),Falcons ,15579376,FLEX,4600,CAR@ATL 10/11/2020 01:00PM ET,ATL,1.75
K,Younghoe Koo (15579377),Younghoe Koo,15579377,FLEX,4200,CAR@ATL 10/11/2020 01:00PM ET,ATL,11.33
K,Joey Slye (15579378),Joey Slye,15579378,FLEX,4000,CAR@ATL 10/11/2020 01:00PM ET,CAR,9.75
DST,Panthers  (15579379),Panthers ,15579379,FLEX,3800,CAR@ATL 10/11/2020 01:00PM ET,CAR,4
WR,Olamide Zaccheaus (15579380),Olamide Zaccheaus,15579380,FLEX,3600,CAR@ATL 10/11/2020 01:00PM ET,ATL,6.68
K,Elliott Fry (15579381),Elliott Fry,15579381,FLEX,3400,CAR@ATL 10/11/2020 01:00PM ET,ATL,4
RB,Brian Hill (15579424),Brian Hill,15579424,CPT,3300,CAR@ATL 10/11/2020 01:00PM ET,ATL,6.95
RB,Ito Smith (15579425),Ito Smith,15579425,CPT,2700,CAR@ATL 10/11/2020 01:00PM ET,ATL,2.82
RB,Brian Hill (15579382),Brian Hill,15579382,FLEX,2200,CAR@ATL 10/11/2020 01:00PM ET,ATL,6.95
RB,Ito Smith (15579383),Ito Smith,15579383,FLEX,1800,CAR@ATL 10/11/2020 01:00PM ET,ATL,2.82
RB,Keith Smith (15579426),Keith Smith,15579426,CPT,1800,CAR@ATL 10/11/2020 01:00PM ET,ATL,1
RB,Keith Smith (15579384),Keith Smith,15579384,FLEX,1200,CAR@ATL 10/11/2020 01:00PM ET,ATL,1
RB,Qadree Ollison (15579427),Qadree Ollison,15579427,CPT,1200,CAR@ATL 10/11/2020 01:00PM ET,ATL,0
RB,Qadree Ollison (15579385),Qadree Ollison,15579385,FLEX,800,CAR@ATL 10/11/2020 01:00PM ET,ATL,0
TE,Chris Manhertz (15579428),Chris Manhertz,15579428,CPT,600,CAR@ATL 10/11/2020 01:00PM ET,CAR,1.48
TE,Chris Manhertz (15579386),Chris Manhertz,15579386,FLEX,400,CAR@ATL 10/11/2020 01:00PM ET,CAR,1.48
WR,Christian Blake (15579429),Christian Blake,15579429,CPT,300,CAR@ATL 10/11/2020 01:00PM ET,ATL,1.92
WR,Omar Bayless (15579430),Omar Bayless,15579430,CPT,300,CAR@ATL 10/11/2020 01:00PM ET,CAR,0
WR,Seth Roberts (15579431),Seth Roberts,15579431,CPT,300,CAR@ATL 10/11/2020 01:00PM ET,CAR,1.78
WR,Brandon Zylstra (15579432),Brandon Zylstra,15579432,CPT,300,CAR@ATL 10/11/2020 01:00PM ET,CAR,0
TE,Luke Stocker (15579433),Luke Stocker,15579433,CPT,300,CAR@ATL 10/11/2020 01:00PM ET,ATL,0.4
TE,Colin Thompson (15579434),Colin Thompson,15579434,CPT,300,CAR@ATL 10/11/2020 01:00PM ET,CAR,0
RB,Trenton Cannon (15579435),Trenton Cannon,15579435,CPT,300,CAR@ATL 10/11/2020 01:00PM ET,CAR,0
WR,Keith Kirkwood (15579436),Keith Kirkwood,15579436,CPT,300,CAR@ATL 10/11/2020 01:00PM ET,CAR,0
TE,Jaeden Graham (15579437),Jaeden Graham,15579437,CPT,300,CAR@ATL 10/11/2020 01:00PM ET,ATL,0
RB,Alex Armah (15579438),Alex Armah,15579438,CPT,300,CAR@ATL 10/11/2020 01:00PM ET,CAR,0.68
WR,Pharoh Cooper (15579439),Pharoh Cooper,15579439,CPT,300,CAR@ATL 10/11/2020 01:00PM ET,CAR,0
WR,Brandon Powell (15579440),Brandon Powell,15579440,CPT,300,CAR@ATL 10/11/2020 01:00PM ET,ATL,1.42
WR,Laquon Treadwell (15579441),Laquon Treadwell,15579441,CPT,300,CAR@ATL 10/11/2020 01:00PM ET,ATL,0
WR,Christian Blake (15579387),Christian Blake,15579387,FLEX,200,CAR@ATL 10/11/2020 01:00PM ET,ATL,1.92
