PLAYER,POSITION,TEAM,POINTS_FD,POINTS_DK,SALARY_FD,SALARY_DK,RUN_ATT,RUN_YDS,RUN_TDS,REC_ATT,REC_YDS,REC_TDS,PASS_YDS,PASS_TDS,PASS_INT
Braxton Berrios,WR,NYJ,3.03,3.73,4800,3000,0.49,2.54,0.01,1.36,15.31,0.09,0,0,0
Kendall Hinton,WR,DEN,3.02,3.69,6000,3000,0.56,3.04,0.02,1.31,15.44,0.07,0,0,0
Hayden Hurst,TE,ATL,3.06,3.84,4800,2700,0,0,0,1.52,15.61,0.13,0,0,0
Geronimo Allison,WR,DET,3.18,4.1,,,0,0,0,1.76,19.04,0.08,0,0,0
Taysom Hill,QB,NO,2.5,2.87,6100,5000,2.56,11.48,0.13,0.52,4.14,0.02,0,0,0
Jeremy McNichols,RB,TEN,3.13,3.97,5500,4800,0.99,3.74,0.02,1.67,12.78,0.09,0,0,0
Elijhaa Penny,RB,NYG,2.85,3.42,5000,,2.29,8.64,0.06,1.11,8.69,0.04,0,0,0
Preston Williams,WR,MIA,2.93,3.59,5200,3100,0,0,0,1.3,16.4,0.11,0,0,0
Ashton Dulin,WR,IND,3.05,3.84,4600,3000,0,0,0,1.52,18.06,0.09,0,0,0
Tyler Johnson,WR,TB,2.77,3.38,4800,3000,0,0,0,1.2,15.34,0.11,0,0,0
Wayne Gallman,RB,ATL,2.46,2.78,4800,4000,2.69,10.73,0.09,0.6,4.03,0.03,0,0,0
Demarcus Robinson,WR,KC,2.65,3.22,5300,3400,0,0,0,1.12,14.53,0.11,0,0,0
Mo Alie-Cox,TE,IND,2.77,3.46,5400,3100,0,0,0,1.35,15.18,0.1,0,0,0
Mack Hollins,WR,MIA,2.72,3.36,5100,3000,0,0,0,1.27,15.01,0.1,0,0,0
Olamide Zaccheaus,WR,ATL,2.61,3.2,5300,3700,0,0,0,1.15,15.19,0.09,0,0,0
Pharaoh Brown,TE,HOU,2.73,3.51,4500,2600,0,0,0,1.54,14.99,0.08,0,0,0
Chris Moore,WR,HOU,2.7,3.43,5200,3600,0,0,0,1.43,16.02,0.07,0,0,0
DeAndre Carter,WR,WSH,2.64,3.36,4800,3000,0,0,0,1.35,16.4,0.07,0,0,0
Dwayne Washington,RB,NO,2.26,2.58,4500,4000,2.4,8.74,0.06,0.62,5.57,0.03,0,0,0
Peyton Barber,RB,LV,2.2,2.47,5000,4000,2.7,9.69,0.09,0.5,3.56,0.02,0,0,0
Josh Gordon,WR,KC,2.36,2.79,5000,3200,0,0,0,0.86,13.93,0.09,0,0,0
Keelan Cole,WR,NYJ,2.52,3.11,5100,,0,0,0,1.17,14.74,0.08,0,0,0
Marcus Johnson,WR,TEN,2.46,3.01,5200,3000,0,0,0,1.06,14.26,0.09,0,0,0
Chester Rogers,WR,TEN,2.55,3.19,5300,3400,0,0,0,1.24,13.13,0.11,0,0,0
James Proche,WR,BAL,2.47,3.04,5000,3000,0,0,0,1.11,13.5,0.1,0,0,0
Byron Pringle,WR,KC,2.39,2.9,5200,3300,0,0,0,1.01,13,0.1,0,0,0
Foster Moreau,TE,LV,2.36,2.88,4400,2500,0,0,0,1.03,11.44,0.12,0,0,0
Freddie Swain,WR,SEA,2.45,3.09,5000,3200,0,0,0,1.25,14.29,0.07,0,0,0
Chris Conley,WR,HOU,2.43,3.03,5000,3300,0,0,0,1.16,15.27,0.06,0,0,0
Willie Snead,WR,LV,2.25,2.76,4600,3000,0,0,0,1,12.92,0.08,0,0,0
Albert Wilson,WR,MIA,2.31,2.89,4800,3000,0,0,0,1.15,12.55,0.08,0,0,0
Justin Watson,WR,TB,2.18,2.68,4500,3000,0,0,0,0.97,12.38,0.08,0,0,0
Marquise Goodwin,WR,CHI,2.09,2.51,4800,3000,0,0,0,0.82,13.39,0.06,0,0,0
John Brown,WR,DEN,2.11,2.57,4500,3000,0,0,0,0.93,12.8,0.06,0,0,0
Chris Evans,RB,CIN,2.04,2.55,4800,4000,1.02,3.79,0.02,0.99,8.43,0.04,0,0,0
Jalen Richard,RB,LV,1.99,2.47,4700,4000,0.95,3.84,0.03,0.91,7.9,0.04,0,0,0
David Njoku,TE,CLE,2.01,2.5,5000,3300,0,0,0,0.97,10.49,0.08,0,0,0
Jason Croom,TE,PHI,1.95,2.43,4000,2500,0,0,0,0.93,10.26,0.08,0,0,0
Kyle Rudolph,TE,NYG,1.91,2.39,4300,2500,0,0,0,0.95,10.18,0.07,0,0,0
Darrynton Evans,RB,TEN,1.67,1.95,5200,4000,1.69,6.34,0.04,0.51,4.03,0.03,0,0,0
Rex Burkhead,RB,HOU,1.86,2.29,4500,4000,1.15,4.52,0.03,0.83,6.57,0.03,0,0,0
Isaiah Ford,WR,MIA,1.83,2.31,4600,3000,0,0,0,0.93,10.27,0.06,0,0,0
Scotty Miller,WR,TB,1.73,2.09,4700,3000,0,0,0,0.71,9.57,0.07,0,0,0
Ryan Griffin,TE,NYJ,1.78,2.27,4500,2500,0,0,0,0.96,9.6,0.06,0,0,0
John Bates,TE,WSH,1.79,2.28,,,0,0,0,0.97,9.62,0.06,0,0,0
Travis Homer,RB,SEA,1.78,2.27,5200,4000,0.77,2.8,0.02,0.97,7.34,0.03,0,0,0
Jack Doyle,TE,IND,1.77,2.26,4400,2700,0,0,0,0.96,9.51,0.06,0,0,0
Alex Armah,RB,NO,1.63,1.97,4500,4000,1.02,3.69,0.03,0.66,5.87,0.03,0,0,0
Albert Okwuegbunam,TE,DEN,1.77,2.28,4400,2500,0,0,0,0.99,9.39,0.06,0,0,0
Trinity Benson,WR,DET,1.66,2.11,4600,3000,0,0,0,0.87,9.46,0.05,0,0,0
Jauan Jennings,WR,SF,1.51,1.84,4600,3000,0,0,0,0.65,9,0.05,0,0,0
Trenton Cannon,RB,SF,1.39,1.64,4600,4000,1.22,4.37,0.03,0.49,4.26,0.02,0,0,0
Hunter Long,TE,MIA,1.52,1.91,,,0,0,0,0.76,7.37,0.07,0,0,0
Mike Strachan,WR,IND,1.51,1.9,4700,3000,0,0,0,0.76,9.11,0.04,0,0,0
Jody Fortson,TE,KC,1.49,1.84,4000,2500,0,0,0,0.69,6.82,0.08,0,0,0
Jonathan Ward,RB,ARI,1.42,1.69,4500,4000,0.93,3.63,0.03,0.53,4.47,0.03,0,0,0
Kylin Hill,RB,GB,1.37,1.63,4600,4000,1.13,4.1,0.03,0.5,3.69,0.03,0,0,0
Phillip Dorsett,WR,SEA,1.45,1.82,4500,3000,0,0,0,0.73,8.62,0.04,0,0,0
Johnny Stanton,RB,CLE,1.34,1.57,,,1.29,4.78,0.04,0.43,3.1,0.02,0,0,0
Charlie Woerner,TE,SF,1.38,1.71,4000,2500,0,0,0,0.65,7.1,0.06,0,0,0
Gary Brightwell,RB,NYG,1.36,1.68,4700,4000,0.88,3.34,0.02,0.62,4.97,0.02,0,0,0
Will Dissly,TE,SEA,1.43,1.82,4800,2800,0,0,0,0.76,7.65,0.05,0,0,0
Andy Janovich,RB,CLE,1.27,1.52,4500,4000,1.08,4,0.03,0.47,3.55,0.02,0,0,0
