PLAYER,POSITION,TEAM,POINTS_FD,POINTS_DK,SALARY_FD,SALARY_DK,RUN_ATT,RUN_YDS,RUN_TDS,REC_ATT,REC_YDS,REC_TDS,PASS_YDS,PASS_TDS,PASS_INT
Jordan Akins,TE,HOU,4.82,6.03,4800,3000,0.01,0.06,0,2.4,26.5,0.16,0,0,0
Trinity Benson,WR,DET,4.81,6.11,,3000,0,0,0,2.53,28.82,0.12,0,0,0
Mohamed Sanu,WR,SF,4.69,5.84,4700,3000,0,0,0,2.29,24.22,0.19,0,0,0
Darrel Williams,RB,KC,4.08,4.76,4900,4700,3.44,14.3,0.1,1.33,10.03,0.07,0,0,0
Chester Rogers,WR,TEN,4.61,5.85,4600,3200,0,0,0,2.4,24.48,0.17,0,0,0
Albert Wilson,WR,MIA,4.46,5.57,4500,3000,0.3,1.67,0.01,2.22,22.87,0.14,0,0,0
Blake Jarwin,TE,DAL,4.25,5.19,4400,3100,0,0,0,1.87,22.53,0.18,0,0,0
Malcolm Brown,RB,MIA,3.68,4.1,4700,4000,4.34,17.98,0.13,0.81,5.55,0.03,0,0,0
Anthony Firkser,TE,TEN,4.28,5.35,4700,3400,0,0,0,2.11,22.27,0.17,0,0,0
David Njoku,TE,CLE,4.05,4.9,4800,3600,0,0,0,1.67,20.36,0.2,0,0,0
Ryan Griffin,TE,NYJ,4.34,5.5,4000,2600,0,0,0,2.29,23.79,0.14,0,0,0
James O'Shaughnessy,TE,JAC,4.35,5.51,4400,2700,0,0,0,2.31,23.11,0.15,0,0,0
Jalen Guyton,WR,LAC,3.89,4.67,4800,3100,0.12,0.74,0.01,1.54,20.42,0.16,0,0,0
Jack Doyle,TE,IND,4.1,5.18,4600,3100,0,0,0,2.09,20.35,0.18,0,0,0
Russell Gage,WR,ATL,4.11,5.21,5200,4800,0,0,0,2.18,23.21,0.12,0,0,0
Tyron Johnson,WR,JAC,3.86,4.72,4600,3600,0,0,0,1.69,23.76,0.11,0,0,0
Danny Amendola,WR,HOU,3.97,5.03,4700,3600,0,0,0,2.08,24.32,0.09,0,0,0
Braxton Berrios,WR,NYJ,3.89,4.87,4700,3600,0,0,0,1.91,22.55,0.12,0,0,0
Devonta Freeman,RB,BAL,3.37,3.88,4900,4600,3.14,13.03,0.09,0.96,7.44,0.06,0,0,0
Byron Pringle,WR,KC,3.67,4.52,4700,3200,0,0,0,1.68,20.12,0.14,0,0,0
Quez Watkins,WR,PHI,3.67,4.52,4800,3200,0,0,0,1.68,21.33,0.12,0,0,0
Nico Collins,WR,HOU,3.7,4.59,4800,3200,0,0,0,1.77,22.31,0.1,0,0,0
Darrynton Evans,RB,TEN,3.57,4.33,4500,4000,2.35,9.62,0.06,1.49,10.46,0.08,0,0,0
James Washington,WR,PIT,3.56,4.32,4900,3400,0,0,0,1.51,20.41,0.13,0,0,0
Justin Jackson,RB,LAC,3.31,3.85,4600,4000,2.72,12.17,0.08,1.09,7.03,0.06,0,0,0
Preston Williams,WR,MIA,3.59,4.46,4800,3000,0,0,0,1.7,20.02,0.13,0,0,0
DeeJay Dallas,RB,SEA,3.05,3.39,4600,4000,3.28,14.03,0.1,0.65,4.58,0.05,0,0,0
Chris Conley,WR,HOU,3.53,4.36,4900,3100,0,0,0,1.61,22.29,0.09,0,0,0
Dan Arnold,TE,CAR,3.64,4.57,4400,2900,0,0,0,1.82,18.73,0.15,0,0,0
Albert Okwuegbunam,TE,DEN,3.5,4.39,4800,2900,0,0,0,1.75,17.64,0.15,0,0,0
Demarcus Robinson,WR,KC,3.44,4.23,4700,3800,0,0,0,1.56,18.38,0.14,0,0,0
Alexander Mattison,RB,MIN,2.82,3.2,4700,5000,2.85,12.19,0.07,0.74,5.89,0.04,0,0,0
Kendrick Bourne,WR,NE,3.1,3.82,4700,4100,0,0,0,1.41,17.58,0.11,0,0,0
Tyler Kroft,TE,NYJ,3.17,4.03,4700,2900,0,0,0,1.69,16.85,0.11,0,0,0
Mo Alie-Cox,TE,IND,2.98,3.68,4500,2700,0,0,0,1.38,15.28,0.13,0,0,0
Will Dissly,TE,SEA,2.89,3.51,4200,3000,0,0,0,1.22,13.41,0.16,0,0,0
Matt Breida,RB,BUF,2.44,2.74,4700,4300,2.73,12.47,0.06,0.54,4.42,0.03,0,0,0
Kadarius Toney,WR,NYG,2.9,3.68,4600,3100,0,0,0,1.54,16.73,0.08,0,0,0
Jaret Patterson,RB,WSH,2.62,3.24,,4000,1.96,8.39,0.03,1.18,8.87,0.03,0,0,0
Kyle Rudolph,TE,NYG,2.86,3.68,4600,2900,0,0,0,1.63,14.64,0.1,0,0,0
Trey Lance,QB,SF,2.1,2.14,6400,4800,0.85,3.87,0.05,0,0,0,23.52,0.15,0.07
Geoff Swaim,TE,TEN,2.72,3.44,4200,2500,0,0,0,1.42,13.08,0.12,0,0,0
Rhamondre Stevenson,RB,NE,2.1,2.25,4800,4000,2.91,12.08,0.09,0.27,1.94,0.01,0,0,0
Keelan Cole,WR,NYJ,2.58,3.22,4500,,0,0,0,1.25,15.14,0.08,0,0,0
Jamison Crowder,WR,NYJ,2.52,3.08,5500,4500,0.34,1.71,0.01,1.12,13.12,0.07,0,0,0
Josh Oliver,TE,BAL,2.5,3.09,4100,2500,0,0,0,1.16,12.21,0.12,0,0,0
Marquise Goodwin,WR,CHI,2.38,2.83,4700,3500,0.14,0.73,0.01,0.88,13.5,0.08,0,0,0
Stephen Anderson,TE,LAC,2.45,3.02,4000,2500,0,0,0,1.12,11.33,0.13,0,0,0
J.J. Taylor,RB,NE,2.01,2.16,4500,4000,2.78,11.85,0.08,0.27,1.85,0.01,0,0,0
Isaiah McKenzie,WR,BUF,2.3,2.75,4600,3200,0.65,3.59,0.05,0.82,8.91,0.07,0,0,0
Ty Montgomery,RB,NO,2.41,2.99,4700,4000,0.87,3.88,0.02,1.14,9.88,0.06,0,0,0
Kyle Juszczyk,RB,SF,2.31,2.83,4500,4000,0.88,3.66,0.03,0.99,9.52,0.06,0,0,0
Justin Fields,QB,CHI,1.76,1.79,6400,5000,0.54,2.38,0.03,0,0,0,22.91,0.14,0.07
Jimmy Graham,TE,CHI,2.19,2.73,5000,3200,0,0,0,1.05,10.86,0.1,0,0,0
Mike Thomas,WR,CIN,2.25,2.8,4500,3000,0,0,0,1.05,12.88,0.08,0,0,0
Nick Westbrook-Ikhine,WR,TEN,2.2,2.78,4500,3000,0,0,0,1.11,12.05,0.08,0,0,0
JaMycal Hasty,RB,SF,2.04,2.49,4900,4200,1.1,4.48,0.04,0.88,6.3,0.05,0,0,0
Ameer Abdullah,RB,MIN,1.96,2.37,4600,4000,1.35,5.6,0.03,0.77,5.79,0.05,0,0,0
Tavon Austin,WR,JAC,2.1,2.68,4500,3000,0.07,0.42,0,1.1,11.5,0.07,0,0,0
Pharaoh Brown,TE,HOU,2.01,2.54,4600,2900,0,0,0,1.03,10.97,0.07,0,0,0
Donald Parham Jr.,TE,LAC,1.89,2.33,4100,2900,0,0,0,0.87,8.7,0.1,0,0,0
Noah Brown,WR,DAL,1.89,2.33,4500,3000,0,0,0,0.87,11.14,0.06,0,0,0
Benny Snell Jr.,RB,PIT,1.61,1.79,4500,4300,1.86,7.71,0.06,0.33,2.29,0.02,0,0,0
K.J. Hill,WR,LAC,1.84,2.3,4600,3000,0,0,0,0.87,9.65,0.08,0,0,0
Harrison Bryant,TE,CLE,1.64,2.02,4600,2500,0,0,0,0.74,8.06,0.08,0,0,0
Kaden Smith,TE,NYG,1.84,2.42,4200,2500,0,0,0,1.11,9.06,0.07,0,0,0
Kalen Ballage,RB,PIT,1.41,1.58,4500,4000,1.59,6.52,0.05,0.32,2,0.02,0,0,0
Demetrius Harris,TE,ARI,1.58,1.97,4000,2500,0,0,0,0.75,8.05,0.07,0,0,0
Marcedes Lewis,TE,GB,1.46,1.78,4200,2500,0,0,0,0.64,7.19,0.07,0,0,0
Pat Freiermuth,TE,PIT,1.55,1.94,4200,2700,0,0,0,0.76,7.69,0.07,0,0,0
Penny Hart,WR,SEA,1.39,1.72,4500,3000,0.05,0.29,0,0.63,7.09,0.06,0,0,0
Kylin Hill,RB,GB,1.08,1.15,,4000,1.49,6.43,0.04,0.12,0.95,0.01,0,0,0
Mike Strachan,WR,IND,1.42,1.79,,3000,0,0,0,0.72,7.8,0.05,0,0,0
Ian Thomas,TE,CAR,1.39,1.8,4200,2500,0,0,0,0.8,6.51,0.06,0,0,0
Jeremy McNichols,RB,TEN,1.28,1.6,4700,4600,0.71,2.99,0.02,0.61,3.98,0.03,0,0,0
Scotty Miller,WR,TB,1.23,1.48,4800,3400,0,0,0,0.51,6.71,0.05,0,0,0
Chuba Hubbard,RB,CAR,1.22,1.45,4600,4500,0.98,4.03,0.03,0.46,2.86,0.02,0,0,0
