PLAYER,TEAM,POSITION,POINTS_FD,POINTS_DK,POINTS_YH,SALARY_FD,SALARY_DK,SALARY_YH,SLATE_MAIN,SLATE_THU_MON,SLATE_SUN_EARLY,SLATE_SUN_MON,SLATE_AFTERNOON,SLATE_SUN_TURBO,DIFF_DK,COLOR_DK,DIFF_FD,COLOR_FD,DIFF_YH,COLOR_YH
Luke Stocker,ATL,TE,0.51,0.66,0.51,4000,2500,10,1,1,1,1,0,0,8,#E0E0F9,3.25,#FFD892,11,#C3C3F3
Dontrell Hilliard,CLE,RB,0.54,0.65,0.54,4500,4000,10,1,1,1,1,0,0,10.5,#C9C9F4,5.75,#FEFEFE,14.25,#A4A4EC
Isaac Nauta,DET,TE,0.52,0.65,0.52,4000,2500,10,1,1,1,1,0,0,8,#E0E0F9,3.25,#FFD892,11,#C3C3F3
Jeff Badet,WSH,WR,0.53,0.65,0.53,,3000,10,1,1,1,1,0,0,8.25,#DEDEF8,,,13.25,#ADADEE
Dontrelle Inman,WSH,WR,0.49,0.6,0.49,4500,3200,10,1,1,1,1,0,0,9,#D7D7F7,5.75,#FEFEFE,13.25,#ADADEE
MyCole Pruitt,TEN,TE,0.48,0.6,0.48,4000,2500,10,1,1,1,1,0,0,8.25,#DEDEF8,3.25,#FFD892,11,#C3C3F3
Geoff Swaim,TEN,TE,0.46,0.58,0.46,4000,2500,10,1,1,1,1,0,0,8.25,#DEDEF8,3.5,#FFDC9D,11,#C3C3F3
James Proche,BAL,WR,0.47,0.58,0.47,4500,3000,10,1,1,1,1,0,0,8.25,#DEDEF8,5.75,#FEFEFE,13.5,#ABABEE
Alex Erickson,CIN,WR,0.47,0.56,0.47,4600,3000,10,1,1,1,1,0,0,8.25,#DEDEF8,6,#FCFCFE,13.5,#ABABEE
Anthony McFarland Jr.,PIT,RB,0.47,0.54,0.47,4500,4000,11,1,1,1,1,0,0,10.75,#C7C7F4,5.75,#FEFEFE,14.5,#A2A2EC
Jalen Hurts,PHI,QB,0.5,0.53,0.5,6100,4100,20,1,1,1,1,0,0,17,#8E8EE8,16.5,#ADADEE,22.25,#5959DE
