PLAYER,POSITION,TEAM,POINTS,SALARY
Derrick Henry,RB,TEN,25.35,8000
Derek Carr,QB,LV,19.03,5500
Kareem Hunt,RB,CLE,20.8,6900
Jamaal Williams,RB,GB,18.51,6100
Mike Evans,WR,TB,15.77,5700
Keenan Allen,WR,LAC,17.42,6200
Mike Williams,WR,LAC,11.97,4400
Hunter Henry,TE,LAC,12.8,4200
Tennessee D/ST,DST,TEN,8.14,3000
