PLAYER,POSITION,TEAM,POINTS,SALARY
Deshaun Watson,QB,HOU,22.2,7700
Alvin Kamara,RB,NO,20.23,9700
James Robinson,RB,JAC,14.7,7200
Terry McLaurin,WR,WSH,14.33,7300
Duke Johnson,RB,HOU,12.14,6000
Mark Andrews,TE,BAL,11.33,6500
Marquise Brown,WR,BAL,11.15,5900
Brandin Cooks,WR,HOU,10.89,6100
Detroit D/ST,DST,DET,6.94,3500
