PLAYER,POSITION,TEAM,POINTS,SALARY
Patrick Mahomes,QB,KC,25.16,9200
D.K. Metcalf,WR,SEA,16.79,8200
DeAndre Hopkins,WR,ARI,17.29,8800
Giovani Bernard,RB,CIN,14.13,6300
Kalen Ballage,RB,LAC,12.83,5800
Terry McLaurin,WR,WSH,14.65,7300
Carlos Hyde,RB,SEA,12.26,5300
Taysom Hill FD,TE,NO,21.54,4500
Cleveland D/ST,DST,CLE,8.44,4600
