PLAYER,POSITION,TEAM,POINTS,SALARY
Patrick Mahomes,QB,KC,25.37,7900
Dalvin Cook,RB,MIN,23.48,9000
Giovani Bernard,RB,CIN,15.93,5500
Terry McLaurin,WR,WSH,17.51,6900
Marvin Jones,WR,DET,15.61,5500
Mark Andrews,TE,BAL,13.99,4900
Kerryon Johnson,RB,DET,11.63,4000
Denzel Mims,WR,NYJ,12.06,3300
Cleveland D/ST,DST,CLE,8.17,3000
