PLAYER,TEAM,POSITION,POINTS_FD,POINTS_DK,POINTS_YH,SALARY_FD,SALARY_DK,SALARY_YH,SLATE_MAIN,SLATE_THU_MON,SLATE_SUN_EARLY,SLATE_SUN_MON,SLATE_AFTERNOON,SLATE_SUN_TURBO,DIFF_DK,COLOR_DK,DIFF_FD,COLOR_FD,DIFF_YH,COLOR_YH
Jonnu Smith,TEN,TE,7.58,9.41,7.58,5800,4700,17,1,1,1,1,0,0,4.5,#FFF8EC,5.5,#F9F9FD,3.25,#FFE1AC
Eric Ebron,PIT,TE,7.6,9.38,7.6,5400,4000,18,1,1,1,1,0,0,2.5,#FFD383,5.25,#FBFBFE,3.25,#FFE1AC
Dallas Goedert,PHI,TE,7.42,9.34,7.42,5800,3800,15,1,1,1,1,0,0,2.5,#FFD383,5.5,#F9F9FD,3,#FFDD9F
Mecole Hardman,KC,WR,7.92,9.34,7.92,5600,4200,13,0,1,0,1,0,0,3.5,#FFE5B8,3.5,#FFE5B8,3.25,#FFE1AC
Noah Fant,DEN,TE,7.45,9.26,7.45,5700,4500,16,1,1,0,1,1,0,4.5,#FFF8EC,5.5,#F9F9FD,3,#FFDD9F
Josh Reynolds,LA,WR,7.48,9.25,7.48,5700,3900,14,0,1,0,1,0,0,2.75,#FFD890,4.25,#FFF3DF,4,#FFF0D4
Pittsburgh D/ST,PIT,DST,9.18,9.18,9.18,5000,4600,19,1,1,1,1,0,0,2.75,#FFD890,1,#FFB734,1.25,#FFBC42
Chris Conley,JAC,WR,7.45,9.17,7.45,4900,3000,12,1,1,1,1,0,0,1.5,#FFC04E,2.75,#FFD890,3.25,#FFE1AC
Hayden Hurst,ATL,TE,7.28,9.16,7.28,5500,4400,17,1,1,1,1,0,0,4.75,#FFFDF9,5.5,#F9F9FD,3.5,#FFE6B9
Quintez Cephus,DET,WR,7.28,9.09,7.28,4700,3000,10,1,1,1,1,0,0,1.5,#FFC04E,3,#FFDC9D,3.5,#FFE6B9
Breshad Perriman,NYJ,WR,7.42,9.02,7.42,5700,4300,12,1,1,0,1,1,0,4,#FFEFD2,4.25,#FFF3DF,3.25,#FFE1AC
Jalen Reagor,PHI,WR,7.21,8.95,7.21,5600,4300,19,1,1,1,1,0,0,4,#FFEFD2,4,#FFEFD2,5.5,#F8F8FD
