PLAYER,POSITION,TEAM,POINTS,SALARY
Dak Prescott,QB,DAL,25.62,8700
Clyde Edwards-Helaire,RB,KC,18.11,7900
Kareem Hunt,RB,CLE,16.8,7000
David Johnson,RB,HOU,14.46,6400
Travis Kelce,TE,KC,15.24,7800
Keenan Allen,WR,LAC,14.79,6800
Terry McLaurin,WR,WSH,12.86,6300
Jerry Jeudy,WR,DEN,10.99,5500
Dallas D/ST,DST,DAL,8.33,3500
