PLAYER,POSITION,TEAM,POINTS_FD,POINTS_DK,POINTS_YH,SALARY_FD,SALARY_DK,SALARY_YH,SLATE_MAIN
Corey Davis,WR,TEN,0,0,0,5400,4800,20,1
Dalvin Cook,RB,MIN,0,0,0,9500,8000,38,1
Mitchell Trubisky,QB,CHI,0,0,0,7000,5200,20,1
Christian McCaffrey,RB,CAR,0,0,0,10000,8500,38,1
Brett Hundley,QB,ARI,0,0,0,,4900,20,0
Jacoby Brissett,QB,IND,0,0,0,6000,4500,20,1
Sean Mannion,QB,MIN,0,0,0,6000,4600,20,1
A.J. McCarron,QB,HOU,0,0,0,6000,4800,20,1
Maxx Williams,TE,ARI,0,0,0,,2800,10,0
Blake Bortles,QB,DEN,0,0,0,6600,5000,20,1
Sammy Watkins,WR,KC,0,0,0,,4600,16,0
Case Keenum,QB,CLE,0,0,0,6000,4700,22,1
Chris Hogan,WR,NYJ,0,0,0,5100,3000,10,1
Matt Barkley,QB,BUF,0,0,0,,4100,20,0
Jordan Reed,TE,SF,0,0,0,,2500,,1
Mike Glennon,QB,JAC,0,0,0,6000,4500,20,1
Le'Veon Bell,RB,NYJ,0,0,0,,,,1
Robert Griffin III,QB,BAL,0,0,0,6000,4100,20,1
Blaine Gabbert,QB,TB,0,0,0,6000,4400,20,1
Chase Daniel,QB,DET,0,0,0,6000,4100,20,1
Colt McCoy,QB,NYG,0,0,0,6000,4100,20,1
Brian Hoyer,QB,NE,0,0,0,6800,5200,20,1
Alex Smith,QB,WSH,0,0,0,6500,5000,20,1
Chad Henne,QB,KC,0,0,0,,4200,20,0
Matt Schaub,QB,ATL,0,0,0,6000,4800,20,1
Indianapolis D/ST,DST,IND,8.83,8.83,8.83,5000,4000,20,1
New York Giants D/ST,DST,NYG,8.37,8.37,8.37,3900,3200,13,1
New England D/ST,DST,NE,8.36,8.36,8.36,4800,4100,22,1
Miami D/ST,DST,MIA,8.14,8.14,8.14,4400,2900,18,1
Baltimore D/ST,DST,BAL,8,8,8,4900,4500,22,1
Washington D/ST,DST,WSH,7.72,7.72,7.72,4600,3300,19,1
Carolina D/ST,DST,CAR,7.16,7.16,7.16,3700,2900,12,1
Pittsburgh D/ST,DST,PIT,6.88,6.88,6.88,4500,3600,16,1
Los Angeles Rams D/ST,DST,LA,6.69,6.69,6.69,,3500,17,1
Tennessee D/ST,DST,TEN,6.7,6.7,6.7,4000,2800,11,1
Kansas City D/ST,DST,KC,6.5,6.5,6.5,,2500,18,0
Minnesota D/ST,DST,MIN,6.46,6.46,6.46,3800,2300,10,1
Chicago D/ST,DST,CHI,6.06,6.06,6.06,4100,3400,14,1
Detroit D/ST,DST,DET,6.08,6.08,6.08,3400,3000,10,1
Arizona D/ST,DST,ARI,6.06,6.06,6.06,,3000,13,0
Denver D/ST,DST,DEN,5.83,5.83,5.83,3900,3500,13,1
New York Jets D/ST,DST,NYJ,5.78,5.78,5.78,3500,2400,12,1
Houston D/ST,DST,HOU,5.76,5.76,5.76,3800,2700,10,1
Cleveland D/ST,DST,CLE,5.32,5.32,5.32,4300,2700,14,1
Jacksonville D/ST,DST,JAC,5.24,5.24,5.24,3600,2800,11,1
Dallas D/ST,DST,DAL,5.19,5.19,5.19,,2800,10,0
San Francisco D/ST,DST,SF,4.94,4.94,4.94,,3100,17,1
Cincinnati D/ST,DST,CIN,4.91,4.91,4.91,3300,2100,11,1
Philadelphia D/ST,DST,PHI,4.71,4.71,4.71,3600,2600,18,1
Green Bay D/ST,DST,GB,4.7,4.7,4.7,4200,3700,17,1
Atlanta D/ST,DST,ATL,4.07,4.07,4.07,3200,2200,12,1
Tampa Bay D/ST,DST,TB,3.85,3.85,3.85,4000,3100,16,1
Buffalo D/ST,DST,BUF,3.65,3.65,3.65,,2600,12,0
