PLAYER,TEAM,POSITION,POINTS_FD,POINTS_DK,POINTS_YH,SALARY_FD,SALARY_DK,SALARY_YH,SLATE_MAIN,SLATE_THU_MON,SLATE_SUN_EARLY,SLATE_SUN_MON,SLATE_AFTERNOON,SLATE_SUN_TURBO,DIFF_DK,COLOR_DK,DIFF_FD,COLOR_FD,DIFF_YH,COLOR_YH
Jeff Smith,NYJ,WR,3.52,4.53,3.52,4500,3000,10,1,1,1,1,1,1,5.75,#F9F9FD,5.5,#F8F8FD,5.5,#F1F1FC
New York Jets D/ST,NYJ,DST,4.53,4.53,4.53,3000,2100,10,1,1,1,1,1,1,4,#FFECC9,2.5,#FFD486,3.25,#FFEBC7
Ryan Griffin,NYJ,TE,3.47,4.41,3.47,4200,2500,10,1,1,1,1,1,1,4,#FFECC9,2.75,#FFD993,4.5,#FBFBFE
Brian Hill,ATL,RB,4.03,4.4,4.03,5300,4200,16,1,1,1,1,1,1,9.75,#D7D7F7,8.75,#DBDBF8,10,#C3C3F3
Mark Ingram,BAL,RB,4.08,4.38,4.08,5400,4700,11,1,1,1,1,0,1,11,#CDCDF5,9,#D9D9F7,8,#D8D8F7
Alfred Morris,NYG,RB,3.9,4.32,3.9,5100,4000,12,1,1,1,1,1,1,9.5,#D9D9F7,8.75,#DBDBF8,8.25,#D5D5F7
Malcolm Brown,LA,RB,3.7,4.25,3.7,5100,4000,11,1,1,1,1,1,1,9.5,#D9D9F7,8.75,#DBDBF8,8.5,#D2D2F6
Jonnu Smith,TEN,TE,3.46,4.24,3.46,5400,3900,16,1,1,1,1,1,1,7.25,#ECECFB,5.25,#FAFAFE,6.25,#E9E9FA
Jack Doyle,IND,TE,3.41,4.23,3.41,5000,2500,10,1,1,1,1,1,1,4,#FFECC9,5,#FCFCFE,4.75,#F8F8FD
Greg Ward,PHI,WR,3.21,4.09,3.21,5000,3100,11,1,1,1,1,1,1,6.25,#F5F5FD,6.25,#F1F1FC,7.25,#DFDFF9
