PLAYER,POSITION,TEAM,POINTS,SALARY
Russell Wilson,QB,SEA,25.27,7900
Derrick Henry,RB,TEN,27.55,8700
Mike Davis,RB,CAR,18.49,6400
Darren Waller,TE,LV,16.97,6800
DeAndre Washington,RB,MIA,13.52,4000
Tee Higgins,WR,CIN,13.98,4800
Cole Beasley,WR,BUF,14,5000
Chad Hansen,WR,HOU,11.85,3900
Dallas D/ST,DST,DAL,8.12,2400
