PLAYER,POSITION,TEAM,POINTS,SALARY
Patrick Mahomes,QB,KC,24.4,40
Derrick Henry,RB,TEN,21.54,34
Austin Ekeler,RB,LAC,18.01,27
Devontae Booker,RB,LV,14.35,14
Brandin Cooks,WR,HOU,13.65,18
Darren Waller,TE,LV,13.23,24
Jarvis Landry,WR,CLE,11.75,15
Marvin Jones,WR,DET,11.22,13
Seattle D/ST,DST,SEA,10.05,15
