PLAYER,POSITION,TEAM,POINTS,SALARY
Derrick Henry,RB,TEN,25.75,9200
Dalvin Cook,RB,MIN,27.36,9500
Derek Carr,QB,LV,19.41,5800
Devontae Booker,RB,LV,16.12,5500
Robert Woods,WR,LA,15.58,5900
Denzel Mims,WR,NYJ,12.38,4100
Kyle Rudolph,TE,MIN,10.02,3400
Anthony Miller,WR,CHI,9.46,3100
Seattle D/ST,DST,SEA,10.05,3300
