PLAYER,POSITION,TEAM,POINTS,SALARY
Dalvin Cook,RB,MIN,28.21,9500
Derek Carr,QB,LV,19.93,5700
Calvin Ridley,WR,ATL,19.46,7100
Justin Jefferson,WR,MIN,17.94,6300
Nyheim Hines,RB,IND,15.08,4600
Brian Hill,RB,ATL,13.9,4000
Darren Waller,TE,LV,15.97,6000
Laviska Shenault,WR,JAC,11.82,3300
New York Giants D/ST,DST,NYG,9.26,3200
