PLAYER,TEAM,POSITION,POINTS_FD,POINTS_DK,POINTS_YH,SALARY_FD,SALARY_DK,SALARY_YH,SLATE_MAIN,SLATE_THU_MON,SLATE_SUN_EARLY,SLATE_SUN_MON,SLATE_AFTERNOON,SLATE_SUN_TURBO,DIFF_DK,COLOR_DK,DIFF_FD,COLOR_FD,DIFF_YH,COLOR_YH
Hayden Hurst,ATL,TE,7.45,9.31,7.45,5600,4000,14,1,1,1,1,1,1,2.25,#FFD68B,1.75,#FFCD72,1.25,#FFC04D
Ryan Fitzpatrick,MIA,QB,9.13,9.22,9.13,7400,6000,25,1,1,1,1,1,1,10.5,#BCBCF1,10.5,#B7B7F0,10,#C2C2F3
Green Bay D/ST,GB,DST,9.21,9.21,9.21,4100,3800,17,1,1,1,1,1,1,1.75,#FFCB6C,0,#FFA500,1.75,#FFCB6C
Sammy Watkins,KC,WR,7.55,9.17,7.55,,4800,14,1,1,1,1,1,1,4.5,#FAFAFE,,,3.25,#FFECCA
Devin Singletary,BUF,RB,7.83,9.11,7.83,,4400,15,1,1,1,1,0,1,4.25,#FDFDFE,,,5.75,#EEEEFB
Dalton Schultz,DAL,TE,7.14,9.09,7.14,,,13,0,1,1,1,1,1,,,,,1.5,#FFC55D
Myles Gaskin,MIA,RB,8.3,9.09,8.3,5500,5900,17,1,1,1,1,1,1,6.5,#E6E6FA,3.25,#FFF0D4,5.5,#F0F0FC
Darnell Mooney,CHI,WR,7.31,9.06,7.31,5100,3400,11,1,1,1,1,1,1,1.25,#FFC04D,2,#FFD382,2.75,#FFE1AB
Chase Edmonds,ARI,RB,7.47,9.05,7.47,5500,4900,15,1,1,1,1,1,1,5.25,#F3F3FC,4,#FDFDFE,6,#EBEBFB
Jalen Reagor,PHI,WR,7.28,9.05,7.28,5500,4500,20,1,1,1,1,1,1,4,#FFFCF8,3,#FFEAC4,5.75,#EEEEFB
Gabriel Davis,BUF,WR,7.37,9.02,7.37,,4300,13,1,1,1,1,0,1,3.25,#FFECCA,,,2.75,#FFE1AB
Allen Lazard,GB,WR,7.35,8.95,7.35,5600,5000,16,1,1,1,1,1,1,5.25,#F3F3FC,3,#FFEAC4,4.25,#FDFDFE
Eric Ebron,PIT,TE,7.24,8.95,7.24,,4400,17,1,1,1,1,1,1,2.75,#FFE1AB,,,3,#FFE6BA
Pittsburgh D/ST,PIT,DST,8.86,8.86,8.86,,4300,21,1,1,1,1,1,1,3.5,#FFF1D9,,,3.5,#FFF1D9
Carlos Hyde,SEA,RB,7.84,8.83,7.84,5700,5300,20,1,1,1,1,1,1,6,#EBEBFB,4.75,#F5F5FD,7.5,#DCDCF8
Phillip Lindsay,DEN,RB,7.99,8.81,7.99,,4200,17,1,1,0,1,1,1,3.5,#FFF1D9,,,5.75,#EEEEFB
Jordan Akins,HOU,TE,7.03,8.71,7.03,5200,2900,10,1,1,1,1,1,1,0,#FFA500,1.25,#FFC151,0.25,#FFAA0F
Jonnu Smith,TEN,TE,7.08,8.67,7.08,5700,4100,21,1,1,1,1,1,1,3,#FFE6BA,2.25,#FFD893,3.75,#FFF7E9
