PLAYER,POSITION,TEAM,POINTS,SALARY
Lamar Jackson,QB,BAL,22.73,32
Dalvin Cook,RB,MIN,21.43,40
Taysom Hill,TE,NO,16.59,24
DeAndre Hopkins,WR,ARI,17.29,30
Kalen Ballage,RB,LAC,12.72,14
Carlos Hyde,RB,SEA,12.03,13
Tee Higgins,WR,CIN,11.46,17
D.J. Moore,WR,CAR,11.16,18
Los Angeles Chargers D/ST,DST,LAC,8.25,12
