PLAYER,POSITION,TEAM,POINTS,SALARY
Lamar Jackson,QB,BAL,23.73,8200
Austin Ekeler,RB,LAC,17.76,7600
James Conner,RB,PIT,15.4,6200
Stefon Diggs,WR,BUF,16.53,8200
Leonard Fournette,RB,TB,13.54,5500
Brandon Aiyuk,WR,SF,12.88,6900
Mark Andrews,TE,BAL,12.21,6800
Nelson Agholor,WR,LV,10.45,5600
Los Angeles Rams D/ST,DST,LA,10.88,5000
