PLAYER,POSITION,TEAM,POINTS,SALARY
Deshaun Watson,QB,HOU,22.7,33
Derrick Henry,RB,TEN,20.12,33
Clyde Edwards-Helaire,RB,KC,15.89,17
Antonio Gibson,RB,WSH,14.74,15
Stefon Diggs,WR,BUF,14.46,25
Terry McLaurin,WR,WSH,13.69,22
D.J. Moore,WR,CAR,12.75,18
Darren Waller,TE,LV,12.42,21
Los Angeles Chargers D/ST,DST,LAC,7.73,13
