PLAYER,POSITION,TEAM,POINTS,SALARY
Derrick Henry,RB,TEN,21.87,34
Dalvin Cook,RB,MIN,22.52,41
Mitchell Trubisky,QB,CHI,18.12,22
Myles Gaskin,RB,MIA,15.28,17
Brandin Cooks,WR,HOU,13.07,18
Darren Waller,TE,LV,13.03,24
Jarvis Landry,WR,CLE,11.48,15
Marvin Jones,WR,DET,11.24,13
Seattle D/ST,DST,SEA,10.05,15
