PLAYER,POSITION,TEAM,POINTS,SALARY
Dalvin Cook,RB,MIN,22.83,40
Daniel Jones,QB,NYG,18.59,24
Josh Jacobs,RB,LV,16.8,25
Mike Davis,RB,CAR,15.02,21
D.J. Moore,WR,CAR,13.5,20
Darren Waller,TE,LV,13.1,25
Mike Williams,WR,LAC,11.31,17
DeVante Parker,WR,MIA,11.64,17
Las Vegas D/ST,DST,LV,5.73,10
