PLAYER,POSITION,TEAM,POINTS,SALARY
Derrick Henry,RB,TEN,23.54,37
Josh Allen,QB,BUF,22.65,33
Mike Davis,RB,CAR,16.37,18
DeAndre Hopkins,WR,ARI,15.14,27
DeAndre Washington,RB,MIA,12.09,10
Robby Anderson,WR,CAR,13.01,19
Marvin Jones,WR,DET,12.55,16
Darren Waller,TE,LV,12.24,24
Seattle D/ST,DST,SEA,9.52,16
