shortName,playerId,playerDkId,position,teamAbbreviation,salary,jdt_players_points,name,startTime
C. Thompson,694629,105048,TE,CAR,2500,0,CLE @ CAR,2022-09-11T17:00:00.0000000Z
J. Babicz,1067859,641238,TE,CAR,2500,,CLE @ CAR,2022-09-11T17:00:00.0000000Z
J. Scott,1062841,643082,TE,CAR,2500,,CLE @ CAR,2022-09-11T17:00:00.0000000Z
M. Forristall,913368,561318,TE,CLE,2500,0,CLE @ CAR,2022-09-11T17:00:00.0000000Z
M. Santos-Silva,1062113,641329,TE,CLE,2500,,CLE @ CAR,2022-09-11T17:00:00.0000000Z
Z. Mitchell-Paden,1289220,642636,TE,CLE,2500,,CLE @ CAR,2022-09-11T17:00:00.0000000Z
N. Griffin-Stewart,884675,485939,TE,CLE,2500,0,CLE @ CAR,2022-09-11T17:00:00.0000000Z
B. Mason,1050233,560881,TE,BAL,2500,,BAL @ NYJ,2022-09-11T17:00:00.0000000Z
N. Boyle,608753,16993,TE,BAL,2500,0.2,BAL @ NYJ,2022-09-11T17:00:00.0000000Z
C. Kolar,1058648,641020,TE,BAL,2500,,BAL @ NYJ,2022-09-11T17:00:00.0000000Z
I. Likely,1125111,641030,TE,BAL,2500,,BAL @ NYJ,2022-09-11T17:00:00.0000000Z
J. Oliver,881779,20593,TE,BAL,2500,1.1,BAL @ NYJ,2022-09-11T17:00:00.0000000Z
T. Poljan,912550,561299,TE,BAL,2500,0,BAL @ NYJ,2022-09-11T17:00:00.0000000Z
J. Ruckert,1122596,640927,TE,NYJ,2500,,BAL @ NYJ,2022-09-11T17:00:00.0000000Z
T. Wesco,919456,19724,TE,NYJ,2500,0.5,BAL @ NYJ,2022-09-11T17:00:00.0000000Z
K. Yeboah,943843,561295,TE,NYJ,2500,0.6,BAL @ NYJ,2022-09-11T17:00:00.0000000Z
K. Rader,840531,18762,TE,PIT,2500,0.4,PIT @ CIN,2022-09-11T17:00:00.0000000Z
C. Heyward,1057457,641102,TE,PIT,2500,,PIT @ CIN,2022-09-11T17:00:00.0000000Z
J. Sternberger,877598,19783,TE,PIT,2500,,PIT @ CIN,2022-09-11T17:00:00.0000000Z
M. Wilcox,885394,486165,TE,CIN,2500,0.2,PIT @ CIN,2022-09-11T17:00:00.0000000Z
T. Moss,920813,476992,TE,CIN,2500,,PIT @ CIN,2022-09-11T17:00:00.0000000Z
S. Washington,884350,486164,TE,CIN,2500,,PIT @ CIN,2022-09-11T17:00:00.0000000Z
N. Eubanks,946018,561394,TE,CIN,2500,,PIT @ CIN,2022-09-11T17:00:00.0000000Z
J. Rigg,920057,642640,TE,CIN,2500,,PIT @ CIN,2022-09-11T17:00:00.0000000Z
C. Adomitis,1061591,642616,TE,CIN,2500,,PIT @ CIN,2022-09-11T17:00:00.0000000Z
C. Harris,216309,13678,TE,CIN,2500,0,PIT @ CIN,2022-09-11T17:00:00.0000000Z
Texans,325,18500,DST,HOU,2400,5.1,IND @ HOU,2022-09-11T17:00:00.0000000Z
Steelers,356,18456,DST,PIT,2400,6.7,PIT @ CIN,2022-09-11T17:00:00.0000000Z
Giants,351,18432,DST,NYG,2300,5.1,NYG @ TEN,2022-09-11T20:25:00.0000000Z
Jets,352,18441,DST,NYJ,2300,3.4,BAL @ NYJ,2022-09-11T17:00:00.0000000Z
Vikings,347,18409,DST,MIN,2200,7.2,GB @ MIN,2022-09-11T20:25:00.0000000Z
Bears,326,18312,DST,CHI,2200,6.2,SF @ CHI,2022-09-11T17:00:00.0000000Z
Raiders,341,18388,DST,LV,2100,3.7,LV @ LAC,2022-09-11T20:25:00.0000000Z
Lions,334,18348,DST,DET,2000,3.5,PHI @ DET,2022-09-11T17:00:00.0000000Z
