shortName,playerId,playerDkId,position,teamAbbreviation,salary,jdt_players_points,name,startTime
D. Goedert,791365,17055,TE,PHI,4500,11.6,PHI @ DET,2022-09-11T17:00:00.0000000Z
M. Gaskin,865895,14491,RB,MIA,4500,10.3,NE @ MIA,2022-09-11T17:00:00.0000000Z
M. Rudolph,823220,18793,QB,PIT,4500,9.7,PIT @ CIN,2022-09-11T17:00:00.0000000Z
K. Pickett,976924,636978,QB,PIT,4500,,PIT @ CIN,2022-09-11T17:00:00.0000000Z
B. Bolden,465752,17552,RB,LV,4400,7.3,LV @ LAC,2022-09-11T20:25:00.0000000Z
J. Kelley,878371,485541,RB,LAC,4400,1.8,LV @ LAC,2022-09-11T20:25:00.0000000Z
T. Williams,866041,471531,RB,IND,4400,3.2,IND @ HOU,2022-09-11T17:00:00.0000000Z
T. Heinicke,599113,20379,QB,WAS,4400,15.2,JAX @ WAS,2022-09-11T17:00:00.0000000Z
M. Jones Jr.,461620,19306,WR,JAX,4400,10.8,JAX @ WAS,2022-09-11T17:00:00.0000000Z
A. Williams,911713,485777,RB,NYG,4400,,NYG @ TEN,2022-09-11T20:25:00.0000000Z
Z. Ertz,503177,17013,TE,ARI,4400,10.3,KC @ ARI,2022-09-11T20:25:00.0000000Z
B. Pringle,913826,11813,WR,CHI,4400,8.3,SF @ CHI,2022-09-11T17:00:00.0000000Z
D. Foreman,835443,11010,RB,CAR,4400,11.1,CLE @ CAR,2022-09-11T17:00:00.0000000Z
D. Peoples-Jones,1050234,485611,WR,CLE,4400,8.1,CLE @ CAR,2022-09-11T17:00:00.0000000Z
M. Davis,694015,12522,RB,BAL,4400,8.3,BAL @ NYJ,2022-09-11T17:00:00.0000000Z
T. Badie,1124338,641091,RB,BAL,4400,,BAL @ NYJ,2022-09-11T17:00:00.0000000Z
T. Smith,838415,18806,WR,NO,4300,8,NO @ ATL,2022-09-11T17:00:00.0000000Z
