PLAYER,POSITION,TEAM,POINTS,SALARY
Derrick Henry,RB,TEN,23.22,9600
Deshaun Watson,QB,HOU,22.49,8000
Mike Davis,RB,CAR,16.32,6800
Myles Gaskin,RB,MIA,14.84,6000
Robby Anderson,WR,CAR,13.12,6500
Marvin Jones,WR,DET,12.43,6200
Darren Waller,TE,LV,12.29,7100
Deebo Samuel,WR,SF,11.53,6300
Dallas D/ST,DST,DAL,8.33,3500
