PLAYER,POSITION,TEAM,POINTS,SALARY
Josh Allen,QB,BUF,24.31,7200
Derrick Henry,RB,TEN,26.94,9500
Dalvin Cook,RB,MIN,25.35,9000
Leonard Fournette,RB,TB,14.96,4500
D.J. Moore,WR,CAR,14.32,5200
Cole Beasley,WR,BUF,13.04,4700
Hunter Renfrow,WR,LV,10.52,3600
Zach Ertz,TE,PHI,9.73,3400
Arizona D/ST,DST,ARI,8.32,2900
