PLAYER,POSITION,TEAM,POINTS,SALARY
Patrick Mahomes,QB,KC,24.4,9000
Austin Ekeler,RB,LAC,18.01,7000
Myles Gaskin,RB,MIA,15.5,5500
Devontae Booker,RB,LV,14.35,6000
Stefon Diggs,WR,BUF,14.41,7900
Allen Robinson,WR,CHI,13.86,6900
Deebo Samuel,WR,SF,12.93,6000
Darren Waller,TE,LV,13.23,7000
Seattle D/ST,DST,SEA,10.05,4700
