PLAYER,TEAM,POSITION,POINTS_FD,POINTS_DK,POINTS_YH,SALARY_FD,SALARY_DK,SALARY_YH,SLATE_MAIN,SLATE_THU_MON,SLATE_SUN_EARLY,SLATE_SUN_MON,SLATE_AFTERNOON,SLATE_SUN_TURBO,DIFF_DK,COLOR_DK,DIFF_FD,COLOR_FD,DIFF_YH,COLOR_YH
Henry Ruggs,LV,WR,2.74,3.23,2.74,5500,4000,12,1,1,1,1,1,1,8.25,#D6D6F7,7.75,#D7D7F7,7.5,#DDDDF8
Atlanta D/ST,ATL,DST,3.19,3.19,3.19,3100,1900,10,1,1,1,1,1,1,4,#FFFAF2,2.75,#FFE2AF,4.5,#FBFBFE
Cedrick Wilson,DAL,WR,2.5,3.16,2.5,4600,3000,10,1,1,1,1,1,1,5.5,#F2F2FC,5.75,#ECECFB,6,#ECECFB
Jamal Agnew,DET,WR,2.56,3.12,2.56,4600,3000,10,1,1,1,1,1,1,5.5,#F2F2FC,5.75,#ECECFB,6,#ECECFB
Juwan Johnson,NO,WR,2.53,3.11,2.53,4600,3200,10,1,1,1,1,1,1,7,#E3E3F9,5.75,#ECECFB,6,#ECECFB
Rodney Smith,CAR,RB,2.66,3.09,2.66,4900,4000,11,1,1,1,1,1,1,8.5,#D3D3F6,8,#D5D5F7,9,#CDCDF5
Christian Blake,ATL,WR,2.43,3.07,2.43,4600,3000,10,1,1,1,1,1,1,5.5,#F2F2FC,6,#EAEAFB,6.25,#E9E9FA
Zay Jones,LV,WR,2.44,2.99,2.44,4600,3000,10,1,1,1,1,1,1,5.5,#F2F2FC,6,#EAEAFB,6.25,#E9E9FA
Mike Thomas,CIN,WR,2.38,2.97,2.38,4500,3000,10,1,1,1,1,1,1,5.5,#F2F2FC,5.25,#F1F1FC,6.25,#E9E9FA
Detroit D/ST,DET,DST,2.96,2.96,2.96,3000,2000,10,1,1,1,1,1,1,4,#FFFAF2,2.25,#FFD78F,4.75,#F8F8FD
Durham Smythe,MIA,TE,2.37,2.96,2.37,5000,2800,12,1,1,1,1,1,1,6.75,#E5E5FA,5.25,#F1F1FC,6,#ECECFB
Freddie Swain,SEA,WR,2.35,2.95,2.35,5100,3000,10,1,1,1,1,1,1,5.5,#F2F2FC,6.75,#E2E2F9,6.25,#E9E9FA
MyCole Pruitt,TEN,TE,2.34,2.93,2.34,4800,2500,10,1,1,1,1,1,1,5.75,#EFEFFC,5.25,#F1F1FC,4.5,#FBFBFE
Brandon Powell,ATL,WR,2.27,2.88,2.27,4500,3000,10,1,1,1,1,1,1,5.75,#EFEFFC,5.5,#EFEFFC,6.25,#E9E9FA
Ameer Abdullah,MIN,RB,2.42,2.85,2.42,4500,4000,10,1,1,1,1,1,1,8.75,#D1D1F6,7,#DFDFF9,9.25,#CBCBF4
Dion Lewis,NYG,RB,2.21,2.85,2.21,4600,4000,10,1,1,1,1,1,1,8.75,#D1D1F6,7.25,#DCDCF8,9.5,#C8C8F4
Will Dissly,SEA,TE,2.31,2.83,2.31,4500,2500,10,1,1,1,1,1,1,5.75,#EFEFFC,5,#F4F4FD,4.5,#FBFBFE
Patrick Laird,MIA,RB,2.42,2.82,2.42,4800,4000,10,1,1,1,1,1,1,8.75,#D1D1F6,8,#D5D5F7,9.25,#CBCBF4
Tennessee D/ST,TEN,DST,2.8,2.8,2.8,3300,2600,10,1,1,1,1,1,1,5.75,#EFEFFC,3.25,#FFEECF,5,#F6F6FD
Diontae Spencer,DEN,WR,2.18,2.74,2.18,4500,3000,10,1,1,1,1,1,1,5.75,#EFEFFC,5.5,#EFEFFC,6.5,#E7E7FA
Dalton Keene,NE,TE,2.14,2.71,2.14,4100,2500,10,1,1,1,1,1,1,6,#EDEDFB,3.25,#FFEECF,4.5,#FBFBFE
Ross Dwelley,SF,TE,2.14,2.68,2.14,4300,2500,10,1,1,1,1,1,1,6,#EDEDFB,4,#FFFFFF,4.5,#FBFBFE
